,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Okhotsk,59.3833,143.3,-9.11,80,0,18.03,RU,1612055798
1,Portland,45.5234,-122.6762,48.99,81,90,12.66,US,1612055602
2,Port Alfred,-33.5906,26.891,63.0,92,0,0.89,ZA,1612056001
3,Vaini,-21.2,-175.2,86.0,79,75,13.8,TO,1612055978
4,Butaritari,3.0707,172.7902,81.32,78,30,18.86,KI,1612055542
5,Constitución,-35.3333,-72.4167,59.59,93,34,8.46,CL,1612055848
6,Bredasdorp,-34.5322,20.0403,64.99,86,0,6.22,ZA,1612055534
7,Thompson,55.7435,-97.8558,14.0,92,90,2.3,CA,1612055601
8,Bluff,-46.6,168.3333,58.21,68,98,7.4,NZ,1612055780
9,Yellowknife,62.456,-114.3525,-11.99,77,20,3.44,CA,1612055788
10,Mayumba,-3.432,10.6554,76.48,85,94,1.95,GA,1612056362
11,Rikitea,-23.1203,-134.9692,79.5,70,0,11.34,PF,1612055535
12,Ancud,-41.8697,-73.8203,55.99,76,0,5.75,CL,1612055975
13,Bambous Virieux,-20.3428,57.7575,78.8,83,40,6.91,MU,1612056083
14,New Norfolk,-42.7826,147.0587,75.99,37,6,3.0,AU,1612056362
15,Port Elizabeth,-33.918,25.5701,62.6,88,0,6.91,ZA,1612056226
16,Jamestown,42.097,-79.2353,18.0,79,1,3.18,US,1612055806
17,Saint-Augustin,51.226,-58.6502,28.81,92,100,16.96,CA,1612056362
18,Ushuaia,-54.8,-68.3,50.0,66,20,24.16,AR,1612055790
19,Ribeira Grande,38.5167,-28.7,63.16,91,97,22.06,PT,1612056362
20,São José da Coroa Grande,-8.8978,-35.1478,78.17,80,91,7.78,BR,1612056193
21,Namatanai,-3.6667,152.4333,84.52,67,100,13.22,PG,1612056362
22,Torbay,47.6666,-52.7314,28.99,100,90,8.05,CA,1612056160
23,East London,-33.0153,27.9116,70.56,85,69,3.49,ZA,1612056363
24,Itarema,-2.9248,-39.9167,78.89,83,98,9.64,BR,1612056363
